,aTagContent,href,keys,attributes,candidateMatch,len_aTagContent,len_aTagContent_group_between 60 and 175,len_aTagContent_group_under 60,len_href,num_keys,attr_job_yn
0,Skip to Content, Main,class data ga event data ga action data trekkie event data trekkie action data trekkie id href,in page link skip to main visuallyhidden focusable Main Nav Skip to content Main Nav Skip to content Main Nav Skip to content ,0.0,15,0,1,5,7,0
1, Shopify Careers  , careers,href class data ga event data ga action data trekkie event data trekkie action data trekkie id, marketing nav logo shopify Main Nav Logo Main Nav Logo Main Nav Logo,0.0,19,0,1,8,7,0
2,Life at Shopify, careers culture,href class itemprop, marketing nav item marketing nav item primary name,0.0,15,0,1,16,3,0
3,Teams, careers teams,href class itemprop, marketing nav item marketing nav item primary name,0.0,5,0,1,14,3,0
4,Work anywhere, careers work anywhere,href class itemprop, marketing nav item marketing nav item primary name,0.0,13,0,1,22,3,0
5,Internships, careers interns,href class itemprop, marketing nav item marketing nav item primary name,0.0,11,0,1,16,3,0
6,shopify com  ,https  shopify com ,href class itemprop, marketing nav item marketing nav item user name,0.0,14,0,1,20,3,0
7,Search jobs, careers search,href class itemprop, marketing nav button marketing button marketing button small name,0.0,11,0,1,15,3,0
8, Home  , careers,href class, marketing nav logo shopify,0.0,8,0,1,8,2,0
9,Life at Shopify, careers culture,href class, drawer item drawer item primary,0.0,15,0,1,16,2,0
10,Teams, careers teams,href class, drawer item drawer item primary,0.0,5,0,1,14,2,0
11,Work anywhere, careers work anywhere,href class, drawer item drawer item primary,0.0,13,0,1,22,2,0
12,Internships, careers interns,href class, drawer item drawer item primary,0.0,11,0,1,16,2,0
13,shopify com  ,https  shopify com ,href class, drawer item,0.0,14,0,1,20,2,0
14,Search jobs, careers search,href class, drawer item,0.0,11,0,1,15,2,0
15,Home, careers,href class, drawer item,0.0,4,0,1,8,2,0
16,Life at Shopify, careers culture,href class, drawer item,0.0,15,0,1,16,2,0
17,Work anywhere, careers work anywhere,href class, drawer item,0.0,13,0,1,22,2,0
18,Teams, careers teams,href class, drawer item,0.0,5,0,1,14,2,0
19,Internships, careers interns,href class, drawer item,0.0,11,0,1,16,2,0
20,Search jobs, careers search,href class, drawer item drawer item active,0.0,11,0,1,15,2,0
21,Transportation Network Planner, careers transportation network planner abf9de,class aria label href,color cyan 70 link view job posting ,1.0,30,0,1,46,3,1
22,Operations Support Specialist Chino CA , careers operations support specialist chino ca 5c6947,class aria label href,color cyan 70 link view job posting ,1.0,41,0,1,54,3,1
23,Operations Support Specialist Columbus Ohio , careers operations support specialist columbus ohio 36337b,class aria label href,color cyan 70 link view job posting ,1.0,46,0,1,59,3,1
24,Operations Support Specialist Savannah GA , careers operations support specialist savannah ga a753c0,class aria label href,color cyan 70 link view job posting ,1.0,44,0,1,57,3,1
25,Operations Support Specialist St Louis MO , careers operations support specialist st louis mo 763d3d,class aria label href,color cyan 70 link view job posting ,1.0,44,0,1,57,3,1
26,Merchant Success Operations  Program Manager, careers merchant success operations program manager ad0ea1,class aria label href,color cyan 70 link view job posting ,1.0,45,0,1,59,3,1
27,Transportation Analyst, careers transportation analyst f2b390,class aria label href,color cyan 70 link view job posting ,1.0,22,0,1,38,3,1
28,Support Advisor  Fluent in Brazilian Portuguese Remote Ireland , careers support advisor fluent in brazilian portuguese remote ireland c45502,class aria label href,color cyan 70 link view job posting ,1.0,66,1,0,77,3,1
29,Support Advisor  Fluent in German Remote Ireland , careers support advisor fluent in german remote ireland bf5faa,class aria label href,color cyan 70 link view job posting ,1.0,52,0,1,63,3,1
30,Support Advisor  Fluent in Japanese Remote Canada , careers support advisor fluent in japanese remote canada d1166f,class aria label href,color cyan 70 link view job posting ,1.0,53,0,1,64,3,1
31,Support Advisor  Fluent in Spanish Remote Ireland , careers support advisor fluent in spanish remote ireland 2eb461,class aria label href,color cyan 70 link view job posting ,1.0,53,0,1,64,3,1
32,Support Advisor  Fluent in Swedish Remote Ireland , careers support advisor fluent in swedish remote ireland 96dd37,class aria label href,color cyan 70 link view job posting ,1.0,53,0,1,64,3,1
33,Support Advisor Remote New Zealand , careers support advisor remote new zealand 4490db,class aria label href,color cyan 70 link view job posting ,1.0,37,0,1,50,3,1
34,Support Advisor  Fluent in French Remote Ireland , careers support advisor fluent in french remote ireland cd7054,class aria label href,color cyan 70 link view job posting ,1.0,52,0,1,63,3,1
35,Director of Support Delivery, careers director of support delivery 1d99da,class aria label href,color cyan 70 link view job posting ,1.0,28,0,1,44,3,1
36,Support Advisor  Fluent in Swedish Remote Eastern Canada , careers support advisor fluent in swedish remote eastern canada 2a8f6b,class aria label href,color cyan 70 link view job posting ,1.0,60,1,0,71,3,1
37,Support Advisor  Fluent in Dutch Remote Ireland , careers support advisor fluent in dutch remote ireland 9912d9,class aria label href,color cyan 70 link view job posting ,1.0,51,0,1,62,3,1
38,Support Advisor  Fluent in Spanish Remote Western Canada , careers support advisor fluent in spanish remote western canada 8412e9,class aria label href,color cyan 70 link view job posting ,1.0,60,1,0,71,3,1
39,Support Advisor Remote Western Canada , careers support advisor remote western canada d7bc14,class aria label href,color cyan 70 link view job posting ,1.0,40,0,1,53,3,1
40,Support Advisor  Fluent in Danish Remote Eastern Canada , careers support advisor fluent in danish remote eastern canada 5d5258,class aria label href,color cyan 70 link view job posting ,1.0,59,0,1,70,3,1
41,Support Advisor  Fluent in Korean Remote Eastern Canada , careers support advisor fluent in korean remote eastern canada 7846f8,class aria label href,color cyan 70 link view job posting ,1.0,59,0,1,70,3,1
42,Support Advisor  Fluent in Korean Remote Ireland , careers support advisor fluent in korean remote ireland 09887e,class aria label href,color cyan 70 link view job posting ,1.0,52,0,1,63,3,1
43,Support Advisor  Fluent in Simplified Chinese Remote Eastern Canada , careers support advisor fluent in simplified chinese remote eastern canada a6524a,class aria label href,color cyan 70 link view job posting ,1.0,71,1,0,82,3,1
44,Support Advisor  Fluent in Simplified Chinese Remote Ireland , careers support advisor fluent in simplified chinese remote ireland b88c63,class aria label href,color cyan 70 link view job posting ,1.0,64,1,0,75,3,1
45,Support Advisor  Fluent in French Remote Eastern Canada , careers support advisor fluent in french remote eastern canada 4b4207,class aria label href,color cyan 70 link view job posting ,1.0,59,0,1,70,3,1
