company,url,aTag,aTagText,aTagContent,href,keys,attributes,key_attr,trun_href,candidateMatch
loblawdigital,https://loblawdigital.co/careers,"<a class=""Mobile-bar-branding"" data-content-field=""site-title"" data-nc-element=""branding"" href=""/"">
<img alt=""Loblaw Digital"" class=""Mobile-bar-branding-logo"" src=""//static1.squarespace.com/static/5aafcc6ac3c16a03a4608bbd/t/5cc9fb6bc83025374952409e/1591908389770/?format=1500w""/>
</a>","<a class=""Mobile-bar-branding"" data-content-field=""site-title"" data-nc-element=""branding"" href=""/"">
<img alt=""Loblaw Digital"" class=""Mobile-bar-branding-logo"" src=""//static1.squarespace.com/static/5aafcc6ac3c16a03a4608bbd/t/5cc9fb6bc83025374952409e/1591908389770/?format=1500w""/>
</a>","

",/,"dict_keys(['href', 'class', 'data-nc-element', 'data-content-field'])","dict_values(['/', ['Mobile-bar-branding'], 'branding', 'site-title'])","{'href': '/', 'class': ['Mobile-bar-branding'], 'data-nc-element': 'branding', 'data-content-field': 'site-title'}",/,0.0
loblawdigital,https://loblawdigital.co/careers,"<a class=""Mobile-bar-search"" data-nc-element=""search-icon"" href=""/search"">
<svg class=""Icon Icon--search"" viewbox=""0 0 20 20"">
<use xlink:href=""/assets/ui-icons.svg#search-icon""></use>
</svg>
</a>","<a class=""Mobile-bar-search"" data-nc-element=""search-icon"" href=""/search"">
<svg class=""Icon Icon--search"" viewbox=""0 0 20 20"">
<use xlink:href=""/assets/ui-icons.svg#search-icon""></use>
</svg>
</a>","



",/search,"dict_keys(['href', 'class', 'data-nc-element'])","dict_values(['/search', ['Mobile-bar-search'], 'search-icon'])","{'href': '/search', 'class': ['Mobile-bar-search'], 'data-nc-element': 'search-icon'}",/search,0.0
loblawdigital,https://loblawdigital.co/careers,"<a class=""Mobile-overlay-nav-item"" href=""/"">
              Home
            </a>","<a class=""Mobile-overlay-nav-item"" href=""/"">
              Home
            </a>","
              Home
            ",/,"dict_keys(['href', 'class'])","dict_values(['/', ['Mobile-overlay-nav-item']])","{'href': '/', 'class': ['Mobile-overlay-nav-item']}",/,0.0
loblawdigital,https://loblawdigital.co/careers,"<a class=""Mobile-overlay-nav-item"" href=""/ourwork"">
              Our Work
            </a>","<a class=""Mobile-overlay-nav-item"" href=""/ourwork"">
              Our Work
            </a>","
              Our Work
            ",/ourwork,"dict_keys(['href', 'class'])","dict_values(['/ourwork', ['Mobile-overlay-nav-item']])","{'href': '/ourwork', 'class': ['Mobile-overlay-nav-item']}",/ourwork,0.0
loblawdigital,https://loblawdigital.co/careers,"<a class=""Mobile-overlay-nav-item"" href=""/ourculture"">
              Our Culture
            </a>","<a class=""Mobile-overlay-nav-item"" href=""/ourculture"">
              Our Culture
            </a>","
              Our Culture
            ",/ourculture,"dict_keys(['href', 'class'])","dict_values(['/ourculture', ['Mobile-overlay-nav-item']])","{'href': '/ourculture', 'class': ['Mobile-overlay-nav-item']}",/ourculture,0.0
loblawdigital,https://loblawdigital.co/careers,"<a class=""Mobile-overlay-nav-item"" href=""/our-values"">
              Our Values
            </a>","<a class=""Mobile-overlay-nav-item"" href=""/our-values"">
              Our Values
            </a>","
              Our Values
            ",/our-values,"dict_keys(['href', 'class'])","dict_values(['/our-values', ['Mobile-overlay-nav-item']])","{'href': '/our-values', 'class': ['Mobile-overlay-nav-item']}",/our-values,0.0
loblawdigital,https://loblawdigital.co/careers,"<a class=""Mobile-overlay-nav-item"" href=""/careers"">
              Careers
            </a>","<a class=""Mobile-overlay-nav-item"" href=""/careers"">
              Careers
            </a>","
              Careers
            ",/careers,"dict_keys(['href', 'class'])","dict_values(['/careers', ['Mobile-overlay-nav-item']])","{'href': '/careers', 'class': ['Mobile-overlay-nav-item']}",/careers,0.0
loblawdigital,https://loblawdigital.co/careers,"<a class=""Mobile-overlay-nav-item"" href=""/contact"">
              Contact
            </a>","<a class=""Mobile-overlay-nav-item"" href=""/contact"">
              Contact
            </a>","
              Contact
            ",/contact,"dict_keys(['href', 'class'])","dict_values(['/contact', ['Mobile-overlay-nav-item']])","{'href': '/contact', 'class': ['Mobile-overlay-nav-item']}",/contact,0.0
loblawdigital,https://loblawdigital.co/careers,"<a class=""Header-nav-item"" data-test=""template-nav"" href=""/ourwork"">Our Work</a>","<a class=""Header-nav-item"" data-test=""template-nav"" href=""/ourwork"">Our Work</a>",Our Work,/ourwork,"dict_keys(['href', 'class', 'data-test'])","dict_values(['/ourwork', ['Header-nav-item'], 'template-nav'])","{'href': '/ourwork', 'class': ['Header-nav-item'], 'data-test': 'template-nav'}",/ourwork,0.0
loblawdigital,https://loblawdigital.co/careers,"<a class=""Header-nav-item"" data-test=""template-nav"" href=""/ourculture"">Our Culture</a>","<a class=""Header-nav-item"" data-test=""template-nav"" href=""/ourculture"">Our Culture</a>",Our Culture,/ourculture,"dict_keys(['href', 'class', 'data-test'])","dict_values(['/ourculture', ['Header-nav-item'], 'template-nav'])","{'href': '/ourculture', 'class': ['Header-nav-item'], 'data-test': 'template-nav'}",/ourculture,0.0
loblawdigital,https://loblawdigital.co/careers,"<a class=""Header-nav-item"" data-test=""template-nav"" href=""/our-values"">Our Values</a>","<a class=""Header-nav-item"" data-test=""template-nav"" href=""/our-values"">Our Values</a>",Our Values,/our-values,"dict_keys(['href', 'class', 'data-test'])","dict_values(['/our-values', ['Header-nav-item'], 'template-nav'])","{'href': '/our-values', 'class': ['Header-nav-item'], 'data-test': 'template-nav'}",/our-values,0.0
loblawdigital,https://loblawdigital.co/careers,"<a class=""Header-nav-item Header-nav-item--active"" data-test=""template-nav"" href=""/careers"">Careers</a>","<a class=""Header-nav-item Header-nav-item--active"" data-test=""template-nav"" href=""/careers"">Careers</a>",Careers,/careers,"dict_keys(['href', 'class', 'data-test'])","dict_values(['/careers', ['Header-nav-item', 'Header-nav-item--active'], 'template-nav'])","{'href': '/careers', 'class': ['Header-nav-item', 'Header-nav-item--active'], 'data-test': 'template-nav'}",/careers,0.0
loblawdigital,https://loblawdigital.co/careers,"<a class=""Header-nav-item"" data-test=""template-nav"" href=""/contact"">Contact</a>","<a class=""Header-nav-item"" data-test=""template-nav"" href=""/contact"">Contact</a>",Contact,/contact,"dict_keys(['href', 'class', 'data-test'])","dict_values(['/contact', ['Header-nav-item'], 'template-nav'])","{'href': '/contact', 'class': ['Header-nav-item'], 'data-test': 'template-nav'}",/contact,0.0
loblawdigital,https://loblawdigital.co/careers,"<a class=""Header-branding"" data-content-field=""site-title"" data-nc-element=""branding"" href=""/"">
<img alt=""Loblaw Digital"" class=""Header-branding-logo"" src=""//static1.squarespace.com/static/5aafcc6ac3c16a03a4608bbd/t/5cc9fb6bc83025374952409e/1591908389770/?format=1500w""/>
</a>","<a class=""Header-branding"" data-content-field=""site-title"" data-nc-element=""branding"" href=""/"">
<img alt=""Loblaw Digital"" class=""Header-branding-logo"" src=""//static1.squarespace.com/static/5aafcc6ac3c16a03a4608bbd/t/5cc9fb6bc83025374952409e/1591908389770/?format=1500w""/>
</a>","

",/,"dict_keys(['href', 'class', 'data-nc-element', 'data-content-field'])","dict_values(['/', ['Header-branding'], 'branding', 'site-title'])","{'href': '/', 'class': ['Header-branding'], 'data-nc-element': 'branding', 'data-content-field': 'site-title'}",/,0.0
loblawdigital,https://loblawdigital.co/careers,"<a class=""sqs-block-button-element--medium sqs-block-button-element"" data-initialized=""true"" href=""/careers/covid-19"">Learn more</a>","<a class=""sqs-block-button-element--medium sqs-block-button-element"" data-initialized=""true"" href=""/careers/covid-19"">Learn more</a>",Learn more,/careers/covid-19,"dict_keys(['href', 'class', 'data-initialized'])","dict_values(['/careers/covid-19', ['sqs-block-button-element--medium', 'sqs-block-button-element'], 'true'])","{'href': '/careers/covid-19', 'class': ['sqs-block-button-element--medium', 'sqs-block-button-element'], 'data-initialized': 'true'}",/careers/covid-19,0.0
loblawdigital,https://loblawdigital.co/careers,"<a href=""/our-values"">See our core values.</a>","<a href=""/our-values"">See our core values.</a>",See our core values.,/our-values,dict_keys(['href']),dict_values(['/our-values']),{'href': '/our-values'},/our-values,0.0
loblawdigital,https://loblawdigital.co/careers,"<a href=""https://jobs.lever.co/loblawdigital/396c3dc9-1b8e-4494-9578-225ec3ae7b2c"" target=""_blank"">Drop us a resume.</a>","<a href=""https://jobs.lever.co/loblawdigital/396c3dc9-1b8e-4494-9578-225ec3ae7b2c"" target=""_blank"">Drop us a resume.</a>",Drop us a resume.,https://jobs.lever.co/loblawdigital/396c3dc9-1b8e-4494-9578-225ec3ae7b2c,"dict_keys(['href', 'target'])","dict_values(['https://jobs.lever.co/loblawdigital/396c3dc9-1b8e-4494-9578-225ec3ae7b2c', '_blank'])","{'href': 'https://jobs.lever.co/loblawdigital/396c3dc9-1b8e-4494-9578-225ec3ae7b2c', 'target': '_blank'}",https://jobs.lever.co/lob,0.0
loblawdigital,https://loblawdigital.co/careers,"<a ""="""" class=""job-title"" href=""https://jobs.lever.co/loblawdigital/c11fddf8-b890-461a-807a-4ad04483ab8b"" target=""_blank"">Design Lead, Online Grocery</a>","<a ""="""" class=""job-title"" href=""https://jobs.lever.co/loblawdigital/c11fddf8-b890-461a-807a-4ad04483ab8b"" target=""_blank"">Design Lead, Online Grocery</a>","Design Lead, Online Grocery",https://jobs.lever.co/loblawdigital/c11fddf8-b890-461a-807a-4ad04483ab8b,"dict_keys(['class', 'target', 'href', '""'])","dict_values([['job-title'], '_blank', 'https://jobs.lever.co/loblawdigital/c11fddf8-b890-461a-807a-4ad04483ab8b', ''])","{'class': ['job-title'], 'target': '_blank', 'href': 'https://jobs.lever.co/loblawdigital/c11fddf8-b890-461a-807a-4ad04483ab8b', '""': ''}",https://jobs.lever.co/lob,1.0
